상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220812886041,까까를로,서양식,4.1,0.12,16.67,0,89,서울특별시 성동구 왕십리로8길 21,성수1가제2동,37.546093,127.046988,100.0
MA010120220812038690,고공 성수본점,한식,4.1,-0.19,17.65,0,109,서울특별시 성동구 왕십리로8길 10,성수1가제2동,37.546308,127.045853,100.0
MA010120220809823782,니드스윗,카페,4.1,-0.13,6.59,0,132,서울특별시 성동구 아차산로1길 9,성수1가제2동,37.548995,127.045693,97.8
MA010120220813877154,바이레인,카페,4.0,-0.08,13.22,0,1421,서울특별시 성동구 왕십리로14길 12,성수1가제2동,37.549073,127.045085,100.0
MA010120220813494592,꾸아,동남아시아,4.0,-0.5,0.0,0,428,서울특별시 성동구 서울숲4길 26-24,성수1가제2동,37.546617,127.043289,100.0
MA010120220804819197,문츠 바베큐,한식,4.0,-0.44,4.08,0,333,서울특별시 성동구 연무장5길 6,성수2가제3동,37.543633,127.052434,95.6
MA0101202212A0008193,5to7,카페,4.0,1.0,0.0,0,324,서울특별시 성동구 서울숲2길 44-13,성수1가제2동,37.546127,127.043308,100.0
MA010120220807563303,도믹스,주점,4.0,0.75,0.0,0,713,서울특별시 성동구 둘레9가길 9,성수1가제1동,37.536728,127.049821,100.0
MA010120220812042863,햄서울,서양식,4.0,-0.62,0.0,0,36,서울특별시 성동구 광나루로 144,성수1가제2동,37.551299,127.046435,100.0
MA010120220806687820,오레노카츠 성수본점,서양식,4.0,-0.33,12.2,0,893,서울특별시 성동구 성수일로 47,성수1가제2동,37.544737,127.049518,97.6
MA010120220812983306,백정돈공장,서양식,4.0,-0.31,39.29,0,779,서울특별시 성동구 연무장길 38-2,성수2가제1동,37.542808,127.05374,84.0
MA010120220806434462,로우커피스탠드 성수점,카페,4.0,-0.5,0.0,0,40,서울특별시 성동구 연무장길 94,성수2가제1동,37.541084,127.059542,100.0
MA010120220807012300,크림라벨 서울숲 본점,카페,4.0,-0.26,10.49,0,21,서울특별시 성동구 서울숲2길 34,성수1가제2동,37.546549,127.042306,96.3
MA010120220813003204,커피식탁,카페,3.9,-0.17,0.0,0,2174,서울특별시 성동구 상원1길 15,성수1가제2동,37.545178,127.048671,100.0
MA010120220812593704,미도림,주점,3.9,0.35,4.44,0,1426,서울특별시 성동구 왕십리로 108,성수1가제2동,37.547194,127.044782,100.0
MA010120220806533112,프라이데이무브먼트,카페,3.9,-0.14,16.67,0,1443,서울특별시 성동구 왕십리로14길 7,성수1가제2동,37.549466,127.04503,100.0
MA010120220810816334,쓰리오브어스,일식,3.9,8.0,22.22,0,1785,서울특별시 성동구 광나루로4길 14,성수2가제3동,37.5493,127.053327,88.9
MA010120220812952684,굴림,카페,3.9,-0.26,22.22,0,694,서울특별시 성동구 성수이로5길 1,성수2가제1동,37.536271,127.053573,85.7
MA010120220803328469,파티세리후르츠,카페,3.9,0.82,3.23,0,299,서울특별시 성동구 아차산로5길 37-1,성수2가제3동,37.548747,127.054265,96.8
MA010120220810591814,에르제,카페,3.9,0.0,0.0,0,308,서울특별시 성동구 아차산로 135,성수2가제3동,37.54389,127.05894,0.0
MA010120220802910886,옹근달,카페,3.9,0.0,0.0,0,231,서울특별시 성동구 성수이로7길 41-1,성수2가제1동,37.542732,127.052994,0.0
MA010120220805376723,파티세리 아모니,카페,3.9,-0.55,20.0,0,181,서울특별시 성동구 광나루로 152,성수1가제2동,37.551421,127.04705,86.7
MA010120220813406701,진작다이닝,일식,3.9,0.0,0.0,0,225,서울특별시 성동구 왕십리로14나길 10,성수1가제2동,37.549275,127.045706,0.0
MA010120220806336643,camouflage coffee,카페,3.9,0.11,15.0,0,178,서울특별시 성동구 아차산로1길 9,성수1가제2동,37.548995,127.045693,100.0
MA010120220807886337,얼룩,서양식,3.9,0.0,0.0,0,236,서울특별시 성동구 상원1길 35-14,성수1가제2동,37.546338,127.047133,100.0
MA010120220803742245,외가집,한식,3.9,1.56,8.89,0,71,서울특별시 성동구 연무장길 17,성수2가제3동,37.543732,127.051453,100.0
MA010120220810800639,시골집,주점,3.9,-0.14,0.0,0,125,서울특별시 성동구 성수이로 36-9,성수2가제1동,37.538078,127.054837,100.0
MA010120220813834413,금금 성수점,일식,3.9,-0.1,2.33,0,169,서울특별시 성동구 성수이로12길 11,성수2가제1동,37.539834,127.056661,95.3
MA010120220812852251,노모어피자 서울숲점,패스트푸드,3.9,-0.23,9.17,0,15,서울특별시 성동구 서울숲2길 26,성수1가제2동,37.546821,127.041504,98.1
